Rank,Curated Title,Date,Impressions,Likes,Engagements,Bookmarks,Shares,Replies,Reposts,Profile Visits,Detail Expands,URL Clicks,Post URL,Post ID,Post Text
42,"SheBuilds Builderton — keynote credit (Bora Lee, Hyeji Byeon)",2026-03-16,749,10,33,0,0,0,4,11,8,0,https://x.com/WWCKorea/status/2033484733280297466,2033484733280297466,"@Lovable @jaeelee2020 @haerinjeong_dev @donutsoup7 @pujaerim @tinyCommit 이번 빌더톤에선 총 15개의 작품이 출품되었습니다! 그중 게시 허가를 주신 9개 팀의 프로젝트만 소개해드렸어요 🌟 키노트 발표를 맡아주신 이보라님, 변혜지님, 그리고 행사를 성공적으로 준비해주신 이보라님, 김민수님, 강보현님, 변혜지님께 진심으로 감사 드립니다. 🙏❤️ 후원으로 행사를"
43,NEW HOPPER 2026 — date / link,2025-12-29,711,1,189,1,0,0,0,10,39,139,https://x.com/WWCKorea/status/2005578049530876030,2005578049530876030,✏️행사 일자 : 1/31 (토) 🎧 지원 링크 : https://t.co/tczFhHMLhx
44,NEW HOPPER 2026 — community framing,2026-01-06,696,1,13,0,0,0,2,8,2,0,https://x.com/WWCKorea/status/2008463417255096456,2008463417255096456,혼자 정리하기 막막했던 생각들을 같은 업계의 여성 동료들과 나누고 개발 · 디자인 · 기획 · 데이터 등 💻🎨📊 각자 다른 일을 하는 여성들이 모여 실무에서 실제로 써본 이야기들을 나눕니다 👉 NEW HOPPER 2026 신청하러 가기
45,NEW HOPPER 2026 — name origin (Grace Hopper),2026-01-06,530,1,5,0,0,0,0,4,0,0,https://x.com/WWCKorea/status/2008463218726109593,2008463218726109593,"NEW HOPPER는 컴퓨터 과학의 선구자 Grace Hopper에서 이름을 따 새해를 향해 도약(HOP) 하고 각자의 희망(HOPE) 을 성과로 만들자는 의미를 담았어요. 🧭 2026년, 혼자가 아닌 동료들과 함께 항해해요."
46,Hackathon for Women — presentation moment,2026-03-07,526,13,47,0,0,1,3,4,18,0,https://x.com/WWCKorea/status/2030191029455097939,2030191029455097939,발표현장에 난입한 고양이..🐈 북북북.. 귀여워요💕 https://t.co/F4FK1XYh47
47,Vibe Coding Contest hashtags,2025-06-24,516,3,8,0,0,0,0,4,1,0,https://x.com/WWCKorea/status/1937458446326009865,1937458446326009865,이번 첫회를 시작으로 계속 진행될 예정이니 지켜봐주세요! #바이브코딩 #입코딩 #해커톤 #개발자 #copilot #vibecoding #lipcoding #coding #microsoft
48,1H Retrospective — registration link,2025-07-22,494,1,28,0,0,0,0,1,0,25,https://x.com/WWCKorea/status/1947617368064376965,1947617368064376965,🔗신청 링크: https://t.co/yUistg1VGj #위민후코드코리아 #WWCKorea #IT상회 #상반기회고 #2025년상반기 #회고 #여성IT커뮤니티 #경험공유 #하반기목표세우기 #회고챗 #네트워킹
49,NEW HOPPER 2026 — registration,2026-01-11,445,1,84,0,0,0,0,1,23,59,https://x.com/WWCKorea/status/2010234703929045391,2010234703929045391,🔗 신청 방법: https://t.co/khdSDdiCAF
50,Vibe Coding Contest — supporter call,2025-05-27,443,1,60,2,0,0,0,1,1,57,https://x.com/WWCKorea/status/1927156051796775156,1927156051796775156,💡 이런 분 환영해요!💡 - IT 계열 전공자 - 공개 SNS/블로그/웹사이트 운영자 - 열정 넘치는 활동가 이번 대회의 성공적인 운영을 함께 이끌어갈 적극적이고 감각 있는 대학생 여러분의 참여를 기다립니다. 👉서포터즈 신청하기: https://t.co/OMA4C1aOgb ☝️행사 정보: https://t.co/rYYXn1reeL
51,Hackathon for Women — sticker moment,2026-03-07,412,4,30,0,0,0,1,1,2,0,https://x.com/WWCKorea/status/2030209221552431413,2030209221552431413,위민후코드코리아 스티커 예쁘게 사용해주신 참가자분✨ https://t.co/EGXOnUWKgF
52,Vibe Coding Contest — supporter details,2025-05-27,334,0,5,0,0,0,0,2,3,0,https://x.com/WWCKorea/status/1927155904736071681,1927155904736071681,"🎯서포터즈 모집 안내 📍모집인원: 5~10명 📍신청 기간 : 5/27~5/30 📍대회 일시 : 6/28(토) 12:00~18:00 📍활동 일정 : - 온라인 사전 OT 진행 (6월 초 예정) - 6/28 : 운영진 준비 09:00~, 행사 시작 12:00~18:00 📍활동 내용: 참가자 안내, 질의 응대, 행사 운영 보조 📍혜택: 굿즈&amp;참가확인증"
53,1H Retrospective — fix correction,2025-07-10,49,1,3,0,0,0,0,2,0,0,https://x.com/WWCKorea/status/1943245454956728495,1943245454956728495,@womanwhomakesai 제보 감사합니다! 덕분에 빠르게 수정했습니다😄
